Date,O/N,30D,90D,180D
2020-03-02,1.59,1.58731,1.56063,1.71663
2020-02-28,1.6,,,
2020-02-27,1.58,,,
2020-02-26,1.58,,,
2020-02-25,1.59,,,
2020-02-24,1.58,,,
2020-02-21,1.58,,,
2020-02-20,1.6,,,
2020-02-19,1.59,,,
2020-02-18,1.6,,,
2020-02-14,1.58,,,
2020-02-13,1.57,,,
2020-02-12,1.57,,,
2020-02-11,1.58,,,
2020-02-10,1.58,,,
2020-02-07,1.58,,,
2020-02-06,1.59,,,
2020-02-05,1.59,,,
2020-02-04,1.6,,,
2020-02-03,1.59,,,
2020-01-31,1.6,,,
2020-01-30,1.58,,,
2020-01-29,1.53,,,
2020-01-28,1.53,,,
2020-01-27,1.53,,,
2020-01-24,1.53,,,
2020-01-23,1.54,,,
2020-01-22,1.54,,,
2020-01-21,1.54,,,
2020-01-17,1.54,,,
2020-01-16,1.55,,,
2020-01-15,1.56,,,
2020-01-14,1.55,,,
2020-01-13,1.54,,,
2020-01-10,1.55,,,
2020-01-09,1.55,,,
2020-01-08,1.55,,,
2020-01-07,1.56,,,
2020-01-06,1.55,,,
2020-01-03,1.55,,,
2020-01-02,1.54,,,
2019-12-31,1.55,,,
2019-12-30,1.54,,,
2019-12-27,1.53,,,
2019-12-26,1.52,,,
2019-12-24,1.52,,,
2019-12-23,1.52,,,
2019-12-20,1.53,,,
2019-12-19,1.53,,,
2019-12-18,1.53,,,
2019-12-17,1.54,,,
2019-12-16,1.62,,,
2019-12-13,1.54,,,
2019-12-12,1.53,,,
2019-12-11,1.54,,,
2019-12-10,1.55,,,
2019-12-09,1.56,,,
2019-12-06,1.55,,,
2019-12-05,1.55,,,
2019-12-04,1.54,,,
2019-12-03,1.55,,,
2019-12-02,1.63,,,
2019-11-29,1.65,,,
2019-11-27,1.55,,,
2019-11-26,1.54,,,
2019-11-25,1.56,,,
2019-11-22,1.58,,,
2019-11-21,1.58,,,
2019-11-20,1.57,,,
2019-11-19,1.57,,,
2019-11-18,1.56,,,
2019-11-15,1.59,,,
2019-11-14,1.58,,,
2019-11-13,1.57,,,
2019-11-12,1.57,,,
2019-11-08,1.56,,,
2019-11-07,1.56,,,
2019-11-06,1.57,,,
2019-11-05,1.58,,,
2019-11-04,1.56,,,
2019-11-01,1.58,,,
2019-10-31,1.76,,,
2019-10-30,1.82,,,
2019-10-29,1.81,,,
2019-10-28,1.82,,,
2019-10-25,1.84,,,
2019-10-24,1.86,,,
2019-10-23,1.87,,,
2019-10-22,1.87,,,
2019-10-21,1.86,,,
2019-10-18,1.88,,,
2019-10-17,1.95,,,
2019-10-16,2.05,,,
2019-10-15,2.0,,,
2019-10-11,1.85,,,
2019-10-10,1.85,,,
2019-10-09,1.85,,,
2019-10-08,1.85,,,
2019-10-07,1.83,,,
2019-10-04,1.82,,,
2019-10-03,1.84,,,
2019-10-02,1.85,,,
2019-10-01,1.88,,,
2019-09-30,2.35,,,
2019-09-27,1.82,,,
2019-09-26,1.85,,,
2019-09-25,2.01,,,
2019-09-24,1.96,,,
2019-09-23,1.85,,,
2019-09-20,1.86,,,
2019-09-19,1.95,,,
2019-09-18,2.55,,,
2019-09-17,5.25,,,
2019-09-16,2.43,,,
2019-09-13,2.2,,,
2019-09-12,2.2,,,
2019-09-11,2.15,,,
2019-09-10,2.14,,,
2019-09-09,2.12,,,
2019-09-06,2.15,,,
2019-09-05,2.21,,,
2019-09-04,2.21,,,
2019-09-03,2.17,,,
2019-08-30,2.16,,,
2019-08-29,2.12,,,
2019-08-28,2.12,,,
2019-08-27,2.15,,,
2019-08-26,2.1,,,
2019-08-23,2.1,,,
2019-08-22,2.09,,,
2019-08-21,2.1,,,
2019-08-20,2.13,,,
2019-08-19,2.11,,,
2019-08-16,2.13,,,
2019-08-15,2.18,,,
2019-08-14,2.13,,,
2019-08-13,2.16,,,
2019-08-12,2.12,,,
2019-08-09,2.11,,,
2019-08-08,2.09,,,
2019-08-07,2.1,,,
2019-08-06,2.11,,,
2019-08-05,2.13,,,
2019-08-02,2.19,,,
2019-08-01,2.19,,,
2019-07-31,2.55,,,
2019-07-30,2.39,,,
2019-07-29,2.4,,,
2019-07-26,2.41,,,
2019-07-25,2.42,,,
2019-07-24,2.41,,,
2019-07-23,2.4,,,
2019-07-22,2.4,,,
2019-07-19,2.41,,,
2019-07-18,2.46,,,
2019-07-17,2.47,,,
2019-07-16,2.47,,,
2019-07-15,2.46,,,
2019-07-12,2.36,,,
2019-07-11,2.41,,,
2019-07-10,2.46,,,
2019-07-09,2.45,,,
2019-07-08,2.48,,,
2019-07-05,2.59,,,
2019-07-03,2.56,,,
2019-07-02,2.51,,,
2019-07-01,2.42,,,
2019-06-28,2.5,,,
2019-06-27,2.42,,,
2019-06-26,2.43,,,
2019-06-25,2.41,,,
2019-06-24,2.39,,,
2019-06-21,2.37,,,
2019-06-20,2.36,,,
2019-06-19,2.36,,,
2019-06-18,2.39,,,
2019-06-17,2.41,,,
2019-06-14,2.35,,,
2019-06-13,2.35,,,
2019-06-12,2.37,,,
2019-06-11,2.38,,,
2019-06-10,2.39,,,
2019-06-07,2.39,,,
2019-06-06,2.4,,,
2019-06-05,2.4,,,
2019-06-04,2.39,,,
2019-06-03,2.4,,,
2019-05-31,2.49,,,
2019-05-30,2.4,,,
2019-05-29,2.4,,,
2019-05-28,2.41,,,
2019-05-24,2.37,,,
2019-05-23,2.37,,,
2019-05-22,2.37,,,
2019-05-21,2.38,,,
2019-05-20,2.39,,,
2019-05-17,2.42,,,
2019-05-16,2.43,,,
2019-05-15,2.48,,,
2019-05-14,2.39,,,
2019-05-13,2.38,,,
2019-05-10,2.4,,,
2019-05-09,2.41,,,
2019-05-08,2.43,,,
2019-05-07,2.44,,,
2019-05-06,2.42,,,
2019-05-03,2.43,,,
2019-05-02,2.5,,,
2019-05-01,2.54,,,
2019-04-30,2.76,,,
2019-04-29,2.48,,,
2019-04-26,2.46,,,
2019-04-25,2.45,,,
2019-04-24,2.44,,,
2019-04-23,2.46,,,
2019-04-22,2.46,,,
2019-04-18,2.5,,,
2019-04-17,2.5,,,
2019-04-16,2.47,,,
2019-04-15,2.47,,,
2019-04-12,2.44,,,
2019-04-11,2.44,,,
2019-04-10,2.45,,,
2019-04-09,2.45,,,
2019-04-08,2.46,,,
2019-04-05,2.46,,,
2019-04-04,2.46,,,
2019-04-03,2.47,,,
2019-04-02,2.46,,,
2019-04-01,2.46,,,
2019-03-29,2.65,,,
2019-03-28,2.43,,,
2019-03-27,2.4,,,
2019-03-26,2.4,,,
2019-03-25,2.4,,,
2019-03-22,2.4,,,
2019-03-21,2.44,,,
2019-03-20,2.47,,,
2019-03-19,2.42,,,
2019-03-18,2.41,,,
2019-03-15,2.46,,,
2019-03-14,2.42,,,
2019-03-13,2.4,,,
2019-03-12,2.39,,,
2019-03-11,2.38,,,
2019-03-08,2.39,,,
2019-03-07,2.38,,,
2019-03-06,2.38,,,
2019-03-05,2.38,,,
2019-03-04,2.38,,,
2019-03-01,2.38,,,
2019-02-28,2.58,,,
2019-02-27,2.37,,,
2019-02-26,2.38,,,
2019-02-25,2.38,,,
2019-02-22,2.4,,,
2019-02-21,2.39,,,
2019-02-20,2.39,,,
2019-02-19,2.4,,,
2019-02-15,2.43,,,
2019-02-14,2.39,,,
2019-02-13,2.38,,,
2019-02-12,2.39,,,
2019-02-11,2.4,,,
2019-02-08,2.37,,,
2019-02-07,2.38,,,
2019-02-06,2.38,,,
2019-02-05,2.4,,,
2019-02-04,2.4,,,
2019-02-01,2.47,,,
2019-01-31,2.58,,,
2019-01-30,2.39,,,
2019-01-29,2.4,,,
2019-01-28,2.39,,,
2019-01-25,2.4,,,
2019-01-24,2.41,,,
2019-01-23,2.4,,,
2019-01-22,2.41,,,
2019-01-18,2.42,,,
2019-01-17,2.41,,,
2019-01-16,2.43,,,
2019-01-15,2.46,,,
2019-01-14,2.4,,,
2019-01-11,2.41,,,
2019-01-10,2.43,,,
2019-01-09,2.45,,,
2019-01-08,2.42,,,
2019-01-07,2.41,,,
2019-01-04,2.45,,,
2019-01-03,2.7,,,
2019-01-02,3.15,,,
2018-12-31,3.0,,,
2018-12-28,2.46,,,
2018-12-27,2.44,,,
2018-12-26,2.44,,,
2018-12-24,2.41,,,
2018-12-21,2.4,,,
2018-12-20,2.41,,,
2018-12-19,2.3,,,
2018-12-18,2.32,,,
2018-12-17,2.31,,,
2018-12-14,2.21,,,
2018-12-13,2.21,,,
2018-12-12,2.2,,,
2018-12-11,2.19,,,
2018-12-10,2.22,,,
2018-12-07,2.3,,,
2018-12-06,2.34,,,
2018-12-04,2.27,,,
2018-12-03,2.23,,,
2018-11-30,2.28,,,
2018-11-29,2.24,,,
2018-11-28,2.19,,,
2018-11-27,2.19,,,
2018-11-26,2.2,,,
2018-11-23,2.23,,,
2018-11-21,2.18,,,
2018-11-20,2.2,,,
2018-11-19,2.24,,,
2018-11-16,2.26,,,
2018-11-15,2.28,,,
2018-11-14,2.2,,,
2018-11-13,2.2,,,
2018-11-09,2.2,,,
2018-11-08,2.21,,,
2018-11-07,2.18,,,
2018-11-06,2.22,,,
2018-11-05,2.24,,,
2018-11-02,2.25,,,
2018-11-01,2.22,,,
2018-10-31,2.22,,,
2018-10-30,2.18,,,
2018-10-29,2.18,,,
2018-10-26,2.19,,,
2018-10-25,2.19,,,
2018-10-24,2.18,,,
2018-10-23,2.17,,,
2018-10-22,2.18,,,
2018-10-19,2.19,,,
2018-10-18,2.19,,,
2018-10-17,2.18,,,
2018-10-16,2.18,,,
2018-10-15,2.21,,,
2018-10-12,2.18,,,
2018-10-11,2.17,,,
2018-10-10,2.15,,,
2018-10-09,2.15,,,
2018-10-05,2.16,,,
2018-10-04,2.18,,,
2018-10-03,2.2,,,
2018-10-02,2.2,,,
2018-10-01,2.22,,,
2018-09-28,2.25,,,
2018-09-27,2.16,,,
2018-09-26,1.92,,,
2018-09-25,1.93,,,
2018-09-24,1.95,,,
2018-09-21,1.92,,,
2018-09-20,1.92,,,
2018-09-19,1.92,,,
2018-09-18,1.94,,,
2018-09-17,2.0,,,
2018-09-14,1.95,,,
2018-09-13,1.94,,,
2018-09-12,1.94,,,
2018-09-11,1.94,,,
2018-09-10,1.94,,,
2018-09-07,1.94,,,
2018-09-06,1.94,,,
2018-09-05,1.95,,,
2018-09-04,1.95,,,
2018-08-31,1.97,,,
2018-08-30,1.93,,,
2018-08-29,1.93,,,
2018-08-28,1.95,,,
2018-08-27,1.95,,,
2018-08-24,1.95,,,
2018-08-23,1.94,,,
2018-08-22,1.9,,,
2018-08-21,1.9,,,
2018-08-20,1.9,,,
2018-08-17,1.9,,,
2018-08-16,1.99,,,
2018-08-15,1.98,,,
2018-08-14,1.93,,,
2018-08-13,1.91,,,
2018-08-10,1.9,,,
2018-08-09,1.91,,,
2018-08-08,1.88,,,
2018-08-07,1.87,,,
2018-08-06,1.86,,,
2018-08-03,1.86,,,
2018-08-02,1.91,,,
2018-08-01,1.88,,,
2018-07-31,1.93,,,
2018-07-30,1.88,,,
2018-07-27,1.88,,,
2018-07-26,1.9,,,
2018-07-25,1.87,,,
2018-07-24,1.9,,,
2018-07-23,1.87,,,
2018-07-20,1.88,,,
2018-07-19,1.9,,,
2018-07-18,1.9,,,
2018-07-17,1.92,,,
2018-07-16,1.95,,,
2018-07-13,1.9,,,
2018-07-12,1.9,,,
2018-07-11,1.89,,,
2018-07-10,1.89,,,
2018-07-09,1.89,,,
2018-07-06,1.93,,,
2018-07-05,1.97,,,
2018-07-03,2.0,,,
2018-07-02,2.04,,,
2018-06-29,2.12,,,
2018-06-28,1.93,,,
2018-06-27,1.9,,,
2018-06-26,1.9,,,
2018-06-25,1.91,,,
2018-06-22,1.92,,,
2018-06-21,1.87,,,
2018-06-20,1.87,,,
2018-06-19,1.88,,,
2018-06-18,1.9,,,
2018-06-15,1.91,,,
2018-06-14,1.9,,,
2018-06-13,1.71,,,
2018-06-12,1.67,,,
2018-06-11,1.69,,,
2018-06-08,1.69,,,
2018-06-07,1.71,,,
2018-06-06,1.73,,,
2018-06-05,1.75,,,
2018-06-04,1.8,,,
2018-06-01,1.81,,,
2018-05-31,1.81,,,
2018-05-30,1.72,,,
2018-05-29,1.72,,,
2018-05-25,1.73,,,
2018-05-24,1.74,,,
2018-05-23,1.67,,,
2018-05-22,1.65,,,
2018-05-21,1.69,,,
2018-05-18,1.73,,,
2018-05-17,1.74,,,
2018-05-16,1.75,,,
2018-05-15,1.79,,,
2018-05-14,1.75,,,
2018-05-11,1.73,,,
2018-05-10,1.73,,,
2018-05-09,1.72,,,
2018-05-08,1.72,,,
2018-05-07,1.71,,,
2018-05-04,1.72,,,
2018-05-03,1.74,,,
2018-05-02,1.75,,,
2018-05-01,1.76,,,
2018-04-30,1.77,,,
2018-04-27,1.72,,,
2018-04-26,1.72,,,
2018-04-25,1.71,,,
2018-04-24,1.71,,,
2018-04-23,1.7,,,
2018-04-20,1.72,,,
2018-04-19,1.73,,,
2018-04-18,1.75,,,
2018-04-17,1.76,,,
2018-04-16,1.77,,,
2018-04-13,1.72,,,
2018-04-12,1.73,,,
2018-04-11,1.76,,,
2018-04-10,1.75,,,
2018-04-09,1.75,,,
2018-04-06,1.75,,,
2018-04-05,1.75,,,
2018-04-04,1.74,,,
2018-04-03,1.83,,,
2018-04-02,1.8,,,
